127.0.0.1 - - [01/Nov/2023:15:15:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:30 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:30 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:30 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 1475182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:58 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:59 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:59 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 1475182
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:15:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:16:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:16:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:16:04 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 200 2064282
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:16:11 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:16:11 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 200 2263867
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:21:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:21:02 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [01/Nov/2023:15:21:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
