127.0.0.1 - - [23/Dec/2023:14:28:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Dec/2023:14:28:36 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:16:53 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:17:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:17:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:18:00 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:18:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:18:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:25:41 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:39 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:48 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:51 +0530] "GET /project_3/ctl/UserCtl?id=3 HTTP/1.1" 200 17530
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:35:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:36:19 +0530] "GET /project_3/ctl/UserCtl?id=4 HTTP/1.1" 200 17519
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:36:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:36:28 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17723
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:36:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:40:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:48:03 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:01 +0530] "GET /project_3/userlistctl/ctl HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:01 +0530] "GET /project_3/img/error_img.jpg HTTP/1.1" 200 1057039
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:01 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:13 +0530] "GET /project_3/userlistctl HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:36 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:49:44 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:41 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:47 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:55:59 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:56:12 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:57:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:57:16 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:57:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:57:37 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [23/Dec/2023:15:57:59 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:28:26 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:28:26 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:28:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:28:30 +0530] "GET /project_3/ctl/UserCtl?id=3 HTTP/1.1" 200 17530
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:28:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:31:32 +0530] "GET /project_3/ctl/UserCtl?id=3000 HTTP/1.1" 200 18461
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:31:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:42:45 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 15667
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:42:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:43:52 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:43:52 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:43:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:50:01 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15741
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:50:01 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:50:28 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:52:17 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:52:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:54:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:54:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:54:34 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:54:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:55:45 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:55:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:59:43 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:16:59:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:00:08 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:00:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:00:32 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17738
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:00:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:01:59 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [23/Dec/2023:17:01:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
