127.0.0.1 - - [18/Dec/2023:13:52:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:52:30 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:52:30 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:52:31 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:10 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:16 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:16 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:40:26 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:40:43 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:40:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:40:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
