127.0.0.1 - - [06/Nov/2023:14:32:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:32:49 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:32:49 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:32:49 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:32:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:39:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:39:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:39:03 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:39:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:49:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:49:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:49:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:49:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:50:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:51:44 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:51:44 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:31 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:39 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20414
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:39 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:39 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:40 +0530] "GET /project_3/img/universe_01.jpg HTTP/1.1" 200 3820558
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:02:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:06:19 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:24:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:24:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:24:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:24:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:25:02 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:25:05 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:25:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:25:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:25:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:47:14 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:47:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:47:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:52:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:52:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:52:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:52:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Nov/2023:15:52:47 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
