127.0.0.1 - - [29/Nov/2023:18:04:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:03 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:04 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:04 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:42 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:04:48 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:05:09 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:05:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:05:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:09:56 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18461
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:09:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:09:56 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 200 3829586
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:10:44 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 12590
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:10:55 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15561
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:11:14 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 14051
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:11:14 +0530] "GET /project_3/img/colleges.jpg HTTP/1.1" 200 228058
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:00 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 12999
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:00 +0530] "GET /project_3/img/books_10.jpg HTTP/1.1" 200 4328483
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:20 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 17550
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:20 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 200 3503158
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:41 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 20710
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:41 +0530] "GET /project_3/img/faculty_img.jpg HTTP/1.1" 200 3524000
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:12:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:13:10 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17708
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:13:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:13:10 +0530] "GET /project_3/img/time_table.jpg HTTP/1.1" 200 1663708
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:13:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Nov/2023:18:14:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
