127.0.0.1 - - [13/Dec/2023:15:50:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:27 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:28 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:28 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:34 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:41 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:50:41 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:02 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:16 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15741
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:16 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:16 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:16 +0530] "GET /project_3/img/universe_02.jpg HTTP/1.1" 200 7343627
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:16 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:51:18 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:56:17 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15741
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:56:18 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [13/Dec/2023:15:56:25 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1946
